image_url,x,y,width,height,neighborhood,intersection
"https://drive.google.com/uc?export=view&id=107JASMcwG6HC3Eo0MWxIiQXyLz6V2sLP
",657,201,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=107JASMcwG6HC3Eo0MWxIiQXyLz6V2sLP
",657,350,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=107JASMcwG6HC3Eo0MWxIiQXyLz6V2sLP
",247,347,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=107JASMcwG6HC3Eo0MWxIiQXyLz6V2sLP
",250,201,22,25,cortez,1st_Cedar
"https://drive.google.com/uc?export=view&id=1H4OlqGzVi2pRcFCqv-a8EYE05Nprjiwg
",651,196,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=1H4OlqGzVi2pRcFCqv-a8EYE05Nprjiwg
",653,348,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=1H4OlqGzVi2pRcFCqv-a8EYE05Nprjiwg
",247,347,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=1H4OlqGzVi2pRcFCqv-a8EYE05Nprjiwg
",239,196,22,25,cortez,1st_Cedar
"https://drive.google.com/uc?export=view&id=1IKub0XpDRiKVwD4nIKigXc9IlRbAnt7y
",635,204,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=1IKub0XpDRiKVwD4nIKigXc9IlRbAnt7y
",633,342,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=1IKub0XpDRiKVwD4nIKigXc9IlRbAnt7y
",247,347,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=1IKub0XpDRiKVwD4nIKigXc9IlRbAnt7y
",250,201,22,25,cortez,1st_Cedar
"https://drive.google.com/uc?export=view&id=1yOrAPFbPOpWADM33XNjHtks7cVoT_3Eg
",628,207,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=1yOrAPFbPOpWADM33XNjHtks7cVoT_3Eg
",628,343,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=1yOrAPFbPOpWADM33XNjHtks7cVoT_3Eg
",257,345,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=1yOrAPFbPOpWADM33XNjHtks7cVoT_3Eg
",259,209,22,25,cortez,1st_Cedar
"https://drive.google.com/uc?export=view&id=16s_t5uyuNkA2jTNU8jWjYv_HqXyJ7f8Z
",636,205,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=16s_t5uyuNkA2jTNU8jWjYv_HqXyJ7f8Z
",635,345,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=16s_t5uyuNkA2jTNU8jWjYv_HqXyJ7f8Z
",256,346,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=16s_t5uyuNkA2jTNU8jWjYv_HqXyJ7f8Z
",258,204,22,25,cortez,1st_Cedar
"https://drive.google.com/uc?export=view&id=1Kra02z5xmvPMAY66ozBub63RgIsi_fIO
",636,205,16,21,cortez,9th_Cedar
"https://drive.google.com/uc?export=view&id=1Kra02z5xmvPMAY66ozBub63RgIsi_fIO
",635,345,18,19,cortez,9th_Ash
"https://drive.google.com/uc?export=view&id=1Kra02z5xmvPMAY66ozBub63RgIsi_fIO
",256,346,22,24,cortez,1st_Ash
"https://drive.google.com/uc?export=view&id=1Kra02z5xmvPMAY66ozBub63RgIsi_fIO
",258,204,22,25,cortez,1st_Cedar
