file_id,neighborhood,date,count,type,x,y
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281627.576407904,1841306.01169163
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281781.532420646,1841132.0314346466
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281639.785538639,1841132.8729292224
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281562.697661951,1840940.8828819245
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281497.905130026,1840794.6667460443
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281920.965026712,1840922.8851011521
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281779.152958487,1840758.2072569819
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281497.747421438,1840394.216732949
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281933.071121169,1840488.1189968556
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,5,Individual,6281872.750483933,1840360.7321924716
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281791.281132147,1840379.5041545187
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281795.816110271,1840558.513491253
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281641.583581802,1840030.3713919425
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281774.412959199,1840058.6129032236
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281867.089909555,1840157.6604388969
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,4,Individual,6281776.493826431,1839674.2517227614
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281644.794250851,1839680.7512953363
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,3,Individual,6281492.844456608,1839280.8240323255
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281771.854760639,1839230.945377384
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281934.688325152,1838926.434777893
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281765.996524831,1838525.9762740636
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281924.5211601965,1838616.4346899414
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,2,Individual,6281917.657186662,1838191.7451797328
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,1,Individual,6281631.926949607,1838182.6786697593
1+VNSWKPSeaP9tCNcDBttFERz5ShCwWDB3nFdA==,gaslamp,2018-01-24,3,Individual,6281914.256215917,1838058.1555938707
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,2,Individual,6281483.579024599,1841282.3342202236
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,5,Individual,6281777.573653061,1841284.549478588
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281473.520046155,1841144.6952617457
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281942.731248204,1841206.002950881
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281936.288666674,1840806.5426510244
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,3,Individual,6281862.724736174,1840882.2393021022
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,3,Individual,6281777.971069772,1840820.2988557531
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,2,Individual,6281488.478676081,1840842.3683369393
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281649.06009846,1840825.9092785812
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281623.297596531,1840539.844140766
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,5,Individual,6281475.263102614,1840429.423545746
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281941.0450632945,1840533.9229224827
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,7,Individual,6281941.169833657,1840388.1698199648
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,4,Individual,6281851.858478989,1840366.7237907397
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,8,Individual,6281780.5468211565,1840453.2132458289
1QhVjL/Wldqt4GuayIgonXlakyvaH1mFXnuM4Q==,gaslamp,2018-02-21,1,Individual,6281653.099328269,1840070.1468675584
