image_url,file_id,source_file,url_year,url_month,date,neighborhood,url_neighborhood,total_count,temp,rain
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,8XCnf9ZwsuraPhk5Ukj4PHy8VLKszUew3Hr7WA==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,5,2014-05-04,gaslamp,gaslamp,14.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,6HF+/ncAeu5ejzL00lpOMefzyHlhqC6vd4spNw==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,6,2014-06-06,gaslamp,gaslamp,24.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,yxdU6KgpDH8D1p/JAtCZnbNc8KcTyA+Npmhx0g==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,7,2014-07-06,gaslamp,gaslamp,30.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,poQ7VBO0D43MU/GDv5uqBCESef4+5pucOO6PAw==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,10,2014-10-06,gaslamp,gaslamp,16.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,4zt6ZEbV4BoDMiZeYRvp+GMCuDN4DH9DOLVr4A==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,11,2014-11-06,gaslamp,gaslamp,15.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,JxcOAoPU8bR+2VIrzqNn8FyX5a7AI/WqRLI8Ww==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json,2014,12,2014-12-05,gaslamp,gaslamp,16.0,,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,ZtcHyQewHsJ7zTd9LuLd1NZT+h9agMYomrfmuA==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,1,2016-01-29,marina,marina,28.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,3rffZZ//NDM4oHRjOFi+wQmuGWCqDcFGlK1S2A==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,2,2016-02-28,marina,marina,33.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,FciWvG9qrq3OoXPsUrUZ1fwhBWne0f1GQw34bQ==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,3,2016-03-01,marina,marina,22.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,LZ1qwia0pxeoqfiRoHn0K/pf71iCNspT+rg/Ig==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,4,2016-04-01,marina,marina,27.0,,clear
