image_url,x,y,width,height,intersection
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201709-006.png,443,695,34,24,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201709-006.png,441,503,36,32,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201709-006.png,1600,507,36,30,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201709-006.png,1600,1271,37,30,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201710-006.png,450,680,34,24,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201710-006.png,450,495,36,28,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201710-006.png,1604,492,37,34,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201710-006.png,1611,1258,36,28,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201711-006.png,441,686,39,28,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201711-006.png,441,503,32,30,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201711-006.png,1598,499,30,32,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201711-006.png,1604,1262,37,26,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201712-006.png,413,716,28,28,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201712-006.png,409,531,30,28,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201712-006.png,1566,535,30,36,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201712-006.png,1564,1299,34,28,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201401-003.png,1298,135,100,70,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201401-003.png,2025,141,88,67,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201401-003.png,1307,2432,103,82,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201401-003.png,2019,2444,97,85,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201403-005.png,976,1159,38,38,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201403-005.png,979,58,46,38,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201403-005.png,630,1155,48,38,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201403-005.png,630,56,53,30,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201404-006.png,2013,2499,85,82,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201404-006.png,2013,205,103,76,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201404-006.png,1304,2488,73,91,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201404-006.png,1298,199,94,64,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,989,1154,46,38,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,975,52,52,30,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,637,1154,46,34,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,628,53,48,28,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,2036,2455,97,91,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,2069,149,100,73,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,1313,2429,100,105,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,1330,144,108,70,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,1984,2282,91,79,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,1992,190,97,64,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,1327,2277,97,73,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,1330,188,79,70,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201408-006.png,2060,2364,82,97,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201408-006.png,2033,155,85,64,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201408-006.png,1351,2373,100,76,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201408-006.png,1327,170,103,64,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201409-006.png,2048,2359,91,94,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201409-006.png,2030,155,91,70,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201409-006.png,1351,2376,97,70,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201409-006.png,1330,188,100,44,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,1954,2423,79,67,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,2001,264,85,62,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,1269,2411,100,73,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,1316,258,91,64,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,1919,2341,85,76,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,1978,196,91,67,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,1236,2335,91,67,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,1295,190,100,64,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,1374,1604,63,59,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,1364,72,64,47,6th_Broadway
