image_url,cx,cy,r,type,count
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",290,820,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",278,678,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",338,401,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",577,401,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",290,338,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",721,623,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",679,471,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",390,404,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",678,623,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",575,513,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",958,861,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",677,567,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",871,471,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",963,456,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1369,689,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1128,483,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1296,339,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1373,519,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1301,636,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1010,824,14.228,1,
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1042,863,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",247,802,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1184,862,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",861,677,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1166,683,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1179,613,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1091,768,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1230,614,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1123,518,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1275,711,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1325,597,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1283,519,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",919,576,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1222,408,14.228,1,2
"https://lh3.googleusercontent.com/d/1P9RFC6JxgqfO0GwOPYcCBUcDit22bZj2
",1181,500,14.228,1,2
