file_id,neighborhood,date,count,type,x,y
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6280127.041590732,1842339.8447872468
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280174.635756501,1842083.5501485371
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,7,1,6280396.199435705,1841964.2195852327
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280179.275932324,1841539.9758200275
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280476.227470221,1841707.833927649
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280399.666233734,1841558.1008340472
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280181.249340433,1841308.8005308912
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6280663.8306948785,1841007.550373759
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,4,1,6280665.750767633,1840782.6230654102
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6280498.9080521995,1840570.6650167806
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6281306.567705998,1842461.4913159856
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6281554.185150907,1842329.591976007
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6281613.259474256,1842248.2043917968
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6281794.835803879,1842253.9426668903
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6282092.480701382,1842340.577024275
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6282082.2805923065,1842015.7184308763
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6281642.40669051,1841873.2527294497
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6281800.756028205,1841560.4167994817
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6281950.111830499,1841541.2541702993
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6282105.367717645,1841590.8011260042
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,1,6282637.796379148,1842289.0640608934
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6282704.370847978,1842088.9466379466
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,1,6282630.42304385,1841633.062485759
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6282934.907923108,1842438.1782261527
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6282919.501088786,1841963.3862976294
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6283332.201182437,1842249.628372267
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6283601.232217229,1842648.7345841238
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,1,6283528.404455542,1842061.6428353994
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,4,1,6283491.190544384,1841861.8166728492
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,1,6283246.933226795,1841600.0932232174
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6283474.396990851,1841549.4722448
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6283308.300970377,1841250.0424651462
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,1,6282769.258724943,1841326.5291479027
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,4,1,6282654.203528794,1841126.92143065
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,1,6281343.661890041,1841155.590516306
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,4,1,6281351.322041584,1841018.116735207
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,2,6281079.497428896,1841706.1409765943
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,2,6281358.215358694,1841730.3501374284
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,2,6281515.284647887,1841567.4657463594
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,2,6280674.777498914,1841244.937236133
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,2,6283198.112347876,1842000.0914200386
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,2,6283613.532544595,1841967.6864745151
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,1,2,6283626.099548734,1841255.3984609693
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,2,2,6282631.489750936,1841508.1028700096
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,2,6282636.729672062,1842414.0236766427
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,3,2,6282751.025116844,1841182.8802011153
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,4,2,6282128.881525819,1841115.8999748323
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,14,1,6281248.153546375,1841705.66767845
brLmd/PMIFUoHRMT9jF6rQfqy1JxAejhtwXn3w==,core,2019-01-31,13,1,6281303.461199043,1841305.6512778539
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,2,6280962.241968276,1841899.7423153394
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,2,6281265.494837212,1841889.3970783832
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,2,6282220.77835857,1841939.1431081379
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,2,6282638.512885797,1841545.3263814338
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,2,6282766.173562587,1841224.2888269615
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,2,6283193.587893286,1841569.1565547616
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6280189.605059835,1842298.3387324796
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,3,1,6280175.988477551,1842135.732409683
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280523.863785732,1841999.5633640883
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280162.153113376,1841923.039893126
