image_url,file_id,source_file,url_year,url_month,url_date,date,url_neighborhood,neighborhood,total_count,temp,rain
"https://lh3.googleusercontent.com/d/1vxxQ3Lfd1-P5ZbX-pvBnmFomxJj35sb1
",iKbUOSlD+zBVyQm4cUpW9QGe9/4YdQqzN897bQ==,count/Cortez_2018_count.json,,,,2018-03-28,,cortez,,59.0,2
"https://lh3.googleusercontent.com/d/15Eq3S_MqyaZ5D3ryLkA3dfoC0-PiM5oH
",vZ6zgDfXxf/LoiC1dbLqOQyQxHiR57AZfkTtKQ==,count/Cortez_2018_count.json,,,,2018-04-25,,cortez,,,2
"https://lh3.googleusercontent.com/d/1dhaj4ECUUQupqStLa0PJ8QZC50bCiAVH
",UKQgK4hxD4ssNV3AwIj8j1X8veF4AtD0ZGZ8rQ==,count/Cortez_2018_count.json,,,,2018-05-03,,cortez,,63.0,2
"https://lh3.googleusercontent.com/d/1Gi3YJZOPu7LZnvNSAfJ7Kbwf97YLQfZ1
",D7Lh4CHbKOpsmhaQ8f4sPDf70YmTxNCVwFRcYw==,count/Cortez_2018_count.json,,,,2018-06-28,,cortez,,63.0,2
"https://lh3.googleusercontent.com/d/1QHiO3A4VCmkoaDqDIR6gf4RHTkrVzEQb
",NaOoPfTR4IxG0m49LtJH9+3EhDK6Ve5mVOdhjw==,count/Cortez_2018_count.json,,,,2018-11-28,,cortez,,60.0,1
"https://lh3.googleusercontent.com/d/1UuB2qkhW4E_uU9GwXwg3T4xKOc7CFLX8
",s1/9lnmMQh2SFHCSMbDZ8TeTg1Tx8vVGUPUWlw==,count/East Village_2019_count.json,,,,2019-12-19,,east_village,,48.0,2
"https://lh3.googleusercontent.com/d/1liEGVNhbwYJj89AMmlTlcImH_OAL8fau
",JDLkh+jvOcDwiqmoCmTFskO/xI+1nlRJm5mIcA==,count/East Village_2018_count.json,,,,2018-03-28,,east_village,,59.0,2
"https://lh3.googleusercontent.com/d/1Uz2N38i6J68VoOoydIFCIfsgIMgeJTxY
",5bt8QAyQzbyVnhbhX8u7asP6z3JjNmydzh+Dnw==,count/East Village_2018_count.json,,,,2018-04-25,,east_village,,,2
"https://lh3.googleusercontent.com/d/1ZaSR-rvPB5Fe6ap-d55vQFB98MOXqaEX
",x85VKZQRaqUJNaOCOpm3r3cCOBwnynzyDysz3g==,count/East Village_2018_count.json,,,,2018-08-31,,east_village,,,2
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",qiYTtRkgj6fr+M+MbiQgy2gMX9yW+DlwtPJHzQ==,count/East Village_2018_count.json,,,,2018-06-28,,east_village,,63.0,2
"https://lh3.googleusercontent.com/d/1rd5boBG83m1kmetK_SgorB9yK7TKab-6
",ww6TKbivhm3fPs4SYlIir694q99BmfCNnFpV3Q==,count/East Village_2018_count.json,,,,2018-11-28,,east_village,,60.0,1
