image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1bG6ClbDCiuxvZ6uQNYkqUB7T6ISqYrMt
",1288,237,33,27,columbia,State_A
"https://lh3.googleusercontent.com/d/1bG6ClbDCiuxvZ6uQNYkqUB7T6ISqYrMt
",846,237,35,34,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1cTE-5eLeKdGF6p1_jwKyAqn44D2_mqeI
",1270,687,37,35,columbia,State_Broadway
"https://lh3.googleusercontent.com/d/1cTE-5eLeKdGF6p1_jwKyAqn44D2_mqeI
",833,687,32,39,columbia,Ketner_Broadway
"https://lh3.googleusercontent.com/d/1cTE-5eLeKdGF6p1_jwKyAqn44D2_mqeI
",1271,241,35,27,columbia,State_A
"https://lh3.googleusercontent.com/d/1cTE-5eLeKdGF6p1_jwKyAqn44D2_mqeI
",836,243,31,30,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1hHFLfqPaU2ScLt6ZzVLhrxHyEUF3FJ8f
",1267,714,35,35,columbia,State_Broadway
"https://lh3.googleusercontent.com/d/1hHFLfqPaU2ScLt6ZzVLhrxHyEUF3FJ8f
",1265,282,37,29,columbia,State_A
"https://lh3.googleusercontent.com/d/1hHFLfqPaU2ScLt6ZzVLhrxHyEUF3FJ8f
",829,275,37,35,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1hHFLfqPaU2ScLt6ZzVLhrxHyEUF3FJ8f
",822,714,44,37,columbia,Ketner_Broadway
"https://lh3.googleusercontent.com/d/1QITVa7rYq4_QidV-KMJF5_zY_wr-DZnH
",389,629,21,27,core,Front_Broadway
"https://lh3.googleusercontent.com/d/1QITVa7rYq4_QidV-KMJF5_zY_wr-DZnH
",386,397,20,21,core,Front_B
"https://lh3.googleusercontent.com/d/1QITVa7rYq4_QidV-KMJF5_zY_wr-DZnH
",1349,622,23,23,core,11th_Broadway
"https://lh3.googleusercontent.com/d/1QITVa7rYq4_QidV-KMJF5_zY_wr-DZnH
",1342,382,24,26,core,11th_B
"https://lh3.googleusercontent.com/d/1ySDrBjxj1s6Dixy0JK6o77RMtJbtL9Od
",400,650,23,27,core,Front_Broadway
"https://lh3.googleusercontent.com/d/1ySDrBjxj1s6Dixy0JK6o77RMtJbtL9Od
",402,458,18,21,core,Front_B
"https://lh3.googleusercontent.com/d/1ySDrBjxj1s6Dixy0JK6o77RMtJbtL9Od
",1202,663,23,23,core,11th_Broadway
"https://lh3.googleusercontent.com/d/1ySDrBjxj1s6Dixy0JK6o77RMtJbtL9Od
",1207,466,20,20,core,11th_B
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",391,614,21,27,core,Front_Broadway
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",391,377,20,21,core,Front_B
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",1349,622,23,23,core,11th_Broadway
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",1350,377,24,26,core,11th_B
"https://lh3.googleusercontent.com/d/1jZvHeOlPBRE_FfQ6AjK1V2ccwXvsfv8W
",411,620,21,27,core,Front_Broadway
"https://lh3.googleusercontent.com/d/1jZvHeOlPBRE_FfQ6AjK1V2ccwXvsfv8W
",412,377,20,21,core,Front_B
"https://lh3.googleusercontent.com/d/1jZvHeOlPBRE_FfQ6AjK1V2ccwXvsfv8W
",1364,620,23,23,core,11th_Broadway
"https://lh3.googleusercontent.com/d/1jZvHeOlPBRE_FfQ6AjK1V2ccwXvsfv8W
",1365,375,24,26,core,11th_B
"https://lh3.googleusercontent.com/d/1gemf9rnasjTIU_qaf6Z7K10xH-u-vT5F
",394,597,21,27,core,Front_Broadway
"https://lh3.googleusercontent.com/d/1gemf9rnasjTIU_qaf6Z7K10xH-u-vT5F
",393,359,20,21,core,Front_B
"https://lh3.googleusercontent.com/d/1gemf9rnasjTIU_qaf6Z7K10xH-u-vT5F
",1343,599,23,23,core,11th_Broadway
"https://lh3.googleusercontent.com/d/1gemf9rnasjTIU_qaf6Z7K10xH-u-vT5F
",1344,357,24,26,core,11th_B
"https://lh3.googleusercontent.com/d/1UuB2qkhW4E_uU9GwXwg3T4xKOc7CFLX8
",248,994,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1UuB2qkhW4E_uU9GwXwg3T4xKOc7CFLX8
",1238,993,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1UuB2qkhW4E_uU9GwXwg3T4xKOc7CFLX8
",1237,563,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1UuB2qkhW4E_uU9GwXwg3T4xKOc7CFLX8
",247,565,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1liEGVNhbwYJj89AMmlTlcImH_OAL8fau
",231,995,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1liEGVNhbwYJj89AMmlTlcImH_OAL8fau
",1223,996,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1liEGVNhbwYJj89AMmlTlcImH_OAL8fau
",1220,566,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1liEGVNhbwYJj89AMmlTlcImH_OAL8fau
",230,568,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1Uz2N38i6J68VoOoydIFCIfsgIMgeJTxY
",258,1016,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1Uz2N38i6J68VoOoydIFCIfsgIMgeJTxY
",1250,1017,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1Uz2N38i6J68VoOoydIFCIfsgIMgeJTxY
",1247,601,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1Uz2N38i6J68VoOoydIFCIfsgIMgeJTxY
",257,603,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1ZaSR-rvPB5Fe6ap-d55vQFB98MOXqaEX
",237,973,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1ZaSR-rvPB5Fe6ap-d55vQFB98MOXqaEX
",1229,978,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1ZaSR-rvPB5Fe6ap-d55vQFB98MOXqaEX
",1226,542,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1ZaSR-rvPB5Fe6ap-d55vQFB98MOXqaEX
",236,544,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",255,981,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",1243,986,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",1246,542,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",258,544,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1rd5boBG83m1kmetK_SgorB9yK7TKab-6
",247,977,26,24,east_village,7th_Market
"https://lh3.googleusercontent.com/d/1rd5boBG83m1kmetK_SgorB9yK7TKab-6
",1235,980,27,23,east_village,16th_Market
"https://lh3.googleusercontent.com/d/1rd5boBG83m1kmetK_SgorB9yK7TKab-6
",1236,542,29,24,east_village,16th_E
"https://lh3.googleusercontent.com/d/1rd5boBG83m1kmetK_SgorB9yK7TKab-6
",246,544,26,26,east_village,7th_E
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",1322,867,44,21,gaslamp,6th_K
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",1324,139,50,22,gaslamp,6th_Broadway
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",939,863,48,24,gaslamp,4th_K
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",947,136,45,21,gaslamp,4th_Broadway
"https://lh3.googleusercontent.com/d/1RIwm98NHv7BrA7nhuBA1KrMjc0s-nQTN
",1311,874,33,19,gaslamp,6th_K
"https://lh3.googleusercontent.com/d/1RIwm98NHv7BrA7nhuBA1KrMjc0s-nQTN
",1313,149,34,19,gaslamp,6th_Broadway
"https://lh3.googleusercontent.com/d/1RIwm98NHv7BrA7nhuBA1KrMjc0s-nQTN
",946,870,27,19,gaslamp,4th_K
"https://lh3.googleusercontent.com/d/1RIwm98NHv7BrA7nhuBA1KrMjc0s-nQTN
",953,146,25,18,gaslamp,4th_Broadway
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",1397,910,33,25,gaslamp,6th_K
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",1396,112,33,22,gaslamp,6th_Broadway
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",1114,906,34,25,gaslamp,4th_K
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",1118,107,29,24,gaslamp,4th_Broadway
"https://lh3.googleusercontent.com/d/1YNjyWVaPT3IwZb8rt5TulGI4QmhEY6kk
",1316,852,27,24,gaslamp,6th_K
"https://lh3.googleusercontent.com/d/1YNjyWVaPT3IwZb8rt5TulGI4QmhEY6kk
",1322,110,31,21,gaslamp,6th_Broadway
"https://lh3.googleusercontent.com/d/1YNjyWVaPT3IwZb8rt5TulGI4QmhEY6kk
",944,847,33,28,gaslamp,4th_K
"https://lh3.googleusercontent.com/d/1YNjyWVaPT3IwZb8rt5TulGI4QmhEY6kk
",948,104,31,26,gaslamp,4th_Broadway
