image_url,x,y,width,height,neighborhood,intersection
"https://drive.google.com/uc?export=view&id=1RqlyA8aq-dlLi3oYZK8WcYnDfU4I-EfW
",882,979,102,102,Marina_2018_gcp,Ketner_G
"https://drive.google.com/uc?export=view&id=1RqlyA8aq-dlLi3oYZK8WcYnDfU4I-EfW
",893,1356,97,86,Marina_2018_gcp,Ketner_Market
"https://drive.google.com/uc?export=view&id=1RqlyA8aq-dlLi3oYZK8WcYnDfU4I-EfW
",3179,941,86,108,Marina_2018_gcp,3rd_G
"https://drive.google.com/uc?export=view&id=1RqlyA8aq-dlLi3oYZK8WcYnDfU4I-EfW
",3200,2501,81,86,Marina_2018_gcp,3rd_K
"https://drive.google.com/uc?export=view&id=1dgkEOZqXr3xVBv5ulGdadjNM58pZkEFX
",930,1006,102,102,Marina_2018_gcp,Ketner_G
"https://drive.google.com/uc?export=view&id=1dgkEOZqXr3xVBv5ulGdadjNM58pZkEFX
",893,1356,97,86,Marina_2018_gcp,Ketner_Market
"https://drive.google.com/uc?export=view&id=1dgkEOZqXr3xVBv5ulGdadjNM58pZkEFX
",3227,973,86,108,Marina_2018_gcp,3rd_G
"https://drive.google.com/uc?export=view&id=1dgkEOZqXr3xVBv5ulGdadjNM58pZkEFX
",3243,2523,81,86,Marina_2018_gcp,3rd_K
"https://drive.google.com/uc?export=view&id=1dRM6E5VtaBNfTu-1FyNy6PBfbx2_E551
",882,979,102,102,Marina_2018_gcp,Ketner_G
"https://drive.google.com/uc?export=view&id=1dRM6E5VtaBNfTu-1FyNy6PBfbx2_E551
",893,1356,97,86,Marina_2018_gcp,Ketner_Market
"https://drive.google.com/uc?export=view&id=1dRM6E5VtaBNfTu-1FyNy6PBfbx2_E551
",3179,941,86,108,Marina_2018_gcp,3rd_G
"https://drive.google.com/uc?export=view&id=1dRM6E5VtaBNfTu-1FyNy6PBfbx2_E551
",3200,2501,81,86,Marina_2018_gcp,3rd_K
"https://drive.google.com/uc?export=view&id=1khbRaivIl7sZKRQcddNoqflA7wLqx8tj
",882,979,102,102,Marina_2018_gcp,Ketner_G
"https://drive.google.com/uc?export=view&id=1khbRaivIl7sZKRQcddNoqflA7wLqx8tj
",893,1356,97,86,Marina_2018_gcp,Ketner_Market
"https://drive.google.com/uc?export=view&id=1khbRaivIl7sZKRQcddNoqflA7wLqx8tj
",3179,941,86,108,Marina_2018_gcp,3rd_G
"https://drive.google.com/uc?export=view&id=1khbRaivIl7sZKRQcddNoqflA7wLqx8tj
",3200,2501,81,86,Marina_2018_gcp,3rd_K
"https://drive.google.com/uc?export=view&id=1l_wfzXcQBudCnzPseF0li5xO_r-2PLN3
",936,1006,102,102,Marina_2018_gcp,Ketner_G
"https://drive.google.com/uc?export=view&id=1l_wfzXcQBudCnzPseF0li5xO_r-2PLN3
",931,1394,97,86,Marina_2018_gcp,Ketner_Market
"https://drive.google.com/uc?export=view&id=1l_wfzXcQBudCnzPseF0li5xO_r-2PLN3
",3238,989,86,108,Marina_2018_gcp,3rd_G
