image_url,cx,cy,r,type,count
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",969,139,19.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1257,145,16.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1219,239,21.0,2,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1366,237,16.0,2,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1361,296,19.949,2,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1330,443,17.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1337,592,16.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1388,675,18.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1252,637,15.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1196,673,15.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",1072,675,19.0,1,2
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",897,672,17.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",809,600,18.0,1,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",863,562,17.0,3,
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",887,494,21.0,1,6
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",812,454,21.0,1,6
" https://lh3.googleusercontent.com/d/1djwCzJ2b-FE1AGoaKom4iTn35d7VgCfU
",912,606,19.0,1,6
