image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1fgzm3luMydJJVgiP8QSYyF1JFnk5wCm3
",263,269,26,24,East Village South_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1fgzm3luMydJJVgiP8QSYyF1JFnk5wCm3
",1269,275,22,17,East Village South_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1fgzm3luMydJJVgiP8QSYyF1JFnk5wCm3
",1268,881,27,26,East Village South_2024_gcp_,16th_Imperial
"https://lh3.googleusercontent.com/d/1fgzm3luMydJJVgiP8QSYyF1JFnk5wCm3
",266,855,26,26,East Village South_2024_gcp_,7th_Imperial
"https://lh3.googleusercontent.com/d/1reP3nipQGd7UCs8beYcu21xKCQbXv3BE
",304,294,26,24,East Village South_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1reP3nipQGd7UCs8beYcu21xKCQbXv3BE
",1242,299,22,17,East Village South_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1reP3nipQGd7UCs8beYcu21xKCQbXv3BE
",1239,864,27,26,East Village South_2024_gcp_,16th_Imperial
"https://lh3.googleusercontent.com/d/1reP3nipQGd7UCs8beYcu21xKCQbXv3BE
",307,840,26,26,East Village South_2024_gcp_,7th_Imperial
"https://lh3.googleusercontent.com/d/1lUFNePexJZc4uQ12q-r9TNITL0lB6uCR
",304,294,26,24,East Village South_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1lUFNePexJZc4uQ12q-r9TNITL0lB6uCR
",1242,299,22,17,East Village South_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1lUFNePexJZc4uQ12q-r9TNITL0lB6uCR
",1239,864,27,26,East Village South_2024_gcp_,16th_Imperial
"https://lh3.googleusercontent.com/d/1lUFNePexJZc4uQ12q-r9TNITL0lB6uCR
",307,840,26,26,East Village South_2024_gcp_,7th_Imperial
"https://lh3.googleusercontent.com/d/155Ij6Ywh5j088ptvK3OCa-uaK0NYhdXJ
",304,294,26,24,East Village South_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/155Ij6Ywh5j088ptvK3OCa-uaK0NYhdXJ
",1246,307,22,17,East Village South_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/155Ij6Ywh5j088ptvK3OCa-uaK0NYhdXJ
",1239,864,27,26,East Village South_2024_gcp_,16th_Imperial
"https://lh3.googleusercontent.com/d/155Ij6Ywh5j088ptvK3OCa-uaK0NYhdXJ
",307,840,26,26,East Village South_2024_gcp_,7th_Imperial
"https://lh3.googleusercontent.com/d/1MHuucXTNJW_QWBkpbjI2diwvjVXfB3X6
",304,294,26,24,East Village South_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1MHuucXTNJW_QWBkpbjI2diwvjVXfB3X6
",1236,298,22,17,East Village South_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1MHuucXTNJW_QWBkpbjI2diwvjVXfB3X6
",1239,864,27,26,East Village South_2024_gcp_,16th_Imperial
"https://lh3.googleusercontent.com/d/1MHuucXTNJW_QWBkpbjI2diwvjVXfB3X6
",307,840,26,26,East Village South_2024_gcp_,7th_Imperial
"https://lh3.googleusercontent.com/d/1ziRgE--gVMWsxgpeaQk80mWBUXyO5pYo
",211,514,22,28,East Village_2024_gcp_,7th_E
"https://lh3.googleusercontent.com/d/1ziRgE--gVMWsxgpeaQk80mWBUXyO5pYo
",212,981,24,26,East Village_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1ziRgE--gVMWsxgpeaQk80mWBUXyO5pYo
",1272,516,31,31,East Village_2024_gcp_,16th_E
"https://lh3.googleusercontent.com/d/1ziRgE--gVMWsxgpeaQk80mWBUXyO5pYo
",1275,987,24,26,East Village_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1pSvJ4xj1BjMLaz2uA_0RnOKCrnvOHycS
",252,518,22,28,East Village_2024_gcp_,7th_E
"https://lh3.googleusercontent.com/d/1pSvJ4xj1BjMLaz2uA_0RnOKCrnvOHycS
",254,952,24,26,East Village_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1pSvJ4xj1BjMLaz2uA_0RnOKCrnvOHycS
",1236,523,31,31,East Village_2024_gcp_,16th_E
"https://lh3.googleusercontent.com/d/1pSvJ4xj1BjMLaz2uA_0RnOKCrnvOHycS
",1240,955,24,26,East Village_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1S_2qO2aeC3x_PXbea8kIcWSlCtRfZfeR
",252,518,22,28,East Village_2024_gcp_,7th_E
"https://lh3.googleusercontent.com/d/1S_2qO2aeC3x_PXbea8kIcWSlCtRfZfeR
",254,952,24,26,East Village_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1S_2qO2aeC3x_PXbea8kIcWSlCtRfZfeR
",1236,523,31,31,East Village_2024_gcp_,16th_E
"https://lh3.googleusercontent.com/d/1S_2qO2aeC3x_PXbea8kIcWSlCtRfZfeR
",1240,955,24,26,East Village_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/1itXcRNwZ88JL6K_EvwAgN6gSKnC1TuBX
",252,528,22,28,East Village_2024_gcp_,7th_E
"https://lh3.googleusercontent.com/d/1itXcRNwZ88JL6K_EvwAgN6gSKnC1TuBX
",254,952,24,26,East Village_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/1itXcRNwZ88JL6K_EvwAgN6gSKnC1TuBX
",1236,523,31,31,East Village_2024_gcp_,16th_E
"https://lh3.googleusercontent.com/d/1itXcRNwZ88JL6K_EvwAgN6gSKnC1TuBX
",1246,958,24,26,East Village_2024_gcp_,16th_Market
"https://lh3.googleusercontent.com/d/148Fa7klb7fld6eKZCtpdjeIKjXDYl8Lk
",252,528,22,28,East Village_2024_gcp_,7th_E
"https://lh3.googleusercontent.com/d/148Fa7klb7fld6eKZCtpdjeIKjXDYl8Lk
",254,952,24,26,East Village_2024_gcp_,7th_Market
"https://lh3.googleusercontent.com/d/148Fa7klb7fld6eKZCtpdjeIKjXDYl8Lk
",1233,518,31,31,East Village_2024_gcp_,16th_E
"https://lh3.googleusercontent.com/d/148Fa7klb7fld6eKZCtpdjeIKjXDYl8Lk
",1240,953,24,26,East Village_2024_gcp_,16th_Market
" https://lh3.googleusercontent.com/d/1APzqM6U3XJt3i4vJIzOsnfGRM1cRwuuT
",478,123,34,42,Barrio Logan_2023_gcp,16th_Logan
" https://lh3.googleusercontent.com/d/1APzqM6U3XJt3i4vJIzOsnfGRM1cRwuuT
",411,495,41,43,Barrio Logan_2023_gcp,Main_Sigsbee
" https://lh3.googleusercontent.com/d/1APzqM6U3XJt3i4vJIzOsnfGRM1cRwuuT
",1214,724,41,45,Barrio Logan_2023_gcp,Logan_Evans
" https://lh3.googleusercontent.com/d/1APzqM6U3XJt3i4vJIzOsnfGRM1cRwuuT
",1008,986,45,39,Barrio Logan_2023_gcp,Main_Evans
