url,neighborhood,source,dest,matrix
" https://lh3.googleusercontent.com/d/1-3MviYlwl2qkSZh7Xoo6VjO7OuDfTcjl
",Barrio Logan,"POLYGON ((431.5 1483.5, 1030.5 994.5, 1234.5 1253.5, 495 1856, 431.5 1483.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.4203268255392794, -0.02689600965535214, 0.0], [-0.02525816473280429, 3.513847181786332, 0.0], [6283361.927709845, 1830981.126550502, 0.9999999999999998]]"
" https://lh3.googleusercontent.com/d/1-Fu19gfaeZ9jhbV6gRJtT6vGPVAl7YLD
",City Center,"POLYGON ((417.5 1633, 417.5 1393, 1367.5 1391.5, 1366.5 1637, 417.5 1633))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.2451543638475875, -0.023075020967012513, 0.0], [0.020367593882838264, 3.1140662101236103, 0.0], [6278930.832369574, 1837100.0504700027, 0.9999999999999998]]"
" https://lh3.googleusercontent.com/d/10G8jwmpzz2kxDX71poLV7HzOu1iYp1bi
",Gaslamp,"POLYGON ((985.5 1891.5, 981.5 1153.5, 1344 1150.5, 1337.5 1893.5, 985.5 1891.5))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.5600961019297455, 0.002643519436239246, 0.0], [0.0033579693063074956, 3.6231908984448182, 0.0], [6279894.611898778, 1834547.5255546644, 0.9999999999999997]]"
" https://lh3.googleusercontent.com/d/10UFPcmC-ACZwXJCWh3q41jNmd16rBVvZ
",City Center,"POLYGON ((433.5 1614, 432.5 1381, 1363.5 1376.5, 1365.5 1613, 433.5 1614))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.3078692620772836, -0.00983586786865815, 0.0], [-0.00711952563142404, 3.220438210710199, 0.0], [6278894.854450995, 1836983.652118091, 1.0000000000000002]]"
" https://lh3.googleusercontent.com/d/10g4xx5J_vlfrrfu_teIoQ3CARwYf-MRQ
",East Village,"POLYGON ((262.5 1462, 262.5 1035.5, 1245.5 1033.5, 1248.5 1459.5, 262.5 1462))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.7663643796717854, -0.002941675342607722, 0.0], [-0.003867294553856482, 2.709681417584761, 0.0], [6281551.661417772, 1837067.5539506963, 0.9999999999999997]]"
" https://lh3.googleusercontent.com/d/112WG1umhrZYZfjg6BOnvg8VTASZXNMKI
",East Village South,"POLYGON ((313.5 1682.5, 322 1127.5, 1253 1108.5, 1247.5 1682.5, 313.5 1682.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.9161388202267995, 0.0037655491724212266, 0.0], [0.04303524597798969, 3.364612387252919, 0.0], [6281285.041669628, 1834204.4611810946, 1.0000000000000002]]"
" https://lh3.googleusercontent.com/d/11PTER6xFMBKtD_ctUJ_9urBQ6JlrxaMZ
",East Village,"POLYGON ((272.5 1453, 267.5 1041.5, 1215.5 1034.5, 1221.5 1451.5, 272.5 1453))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.871231576488815, 0.0030021258207882586, 0.0], [-0.03210237682014849, 2.788072698205724, 0.0], [6281537.807371095, 1836972.266649349, 1.0000000000000004]]"
" https://lh3.googleusercontent.com/d/12Oj7_g3cd6rPJpP8mh8SlnNL1E-cEwpF
",East Village,"POLYGON ((262.5 1462, 262.5 1035.5, 1245.5 1021.5, 1248.5 1459.5, 262.5 1462))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.7663403971951093, 0.013229201745534663, 0.0], [-0.0039303063895204104, 2.6716678348072946, 0.0], [6281551.746342758, 1837110.7906809286, 1.0]]"
" https://lh3.googleusercontent.com/d/12gEhtrKFM4Qdd7-kh7vYAuQZzF30hs6V
",East Village South,"POLYGON ((324.5 1684.5, 318 1154.5, 1216 1128.5, 1224.5 1678.5, 324.5 1684.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[3.0237344993290347, 0.030949196701971788, 0.0], [-0.034740090864033846, 3.516624834478762, 0.0], [6281350.046880761, 1833931.1418196717, 1.0000000000000002]]"
" https://lh3.googleusercontent.com/d/131RB-CWqippuqZwDXLG-3ZM4ENi5hqXb
",Columbia,"POLYGON ((856.5 1749.5, 851.5 1300, 1286.5 1302.5, 1288.5 1747.5, 856.5 1749.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9028738449318887, -0.013205313720701453, 0.0], [0.005371501961235481, 2.5200338459283103, 0.0], [6277316.350211518, 1838168.9389787102, 1.0]]"
