file_id,neighborhood,date,count,type,x,y
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279169.325938691,1842874.4008762639
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279718.625846638,1842861.3483903478
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,2,6279646.040229148,1842623.9360453917
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,2,6279926.417854251,1842630.045200611
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,2,6279916.813717107,1842481.1674738387
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279857.518615537,1842110.1006615828
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279870.699201487,1841734.2633378005
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279967.87723324,1841525.2451079714
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279708.525879527,1841620.125071317
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279601.6750044,1841528.9012890721
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,2,1,6279365.165628975,1841522.9585598256
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6279031.388903697,1841529.2604895162
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,1,6278863.627613278,1841710.2608716348
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,1,3,6278966.666148206,1841806.5156582326
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,6,1,6279012.519580148,1841978.2355101253
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,6,1,6278869.51674405,1842078.6023402705
zLj67dnGmkUxevSJIF/YKhcHYO7LmnNYInr+EQ==,columbia,,6,1,6279060.074208601,1841695.8697420256
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,3,1,6278591.779169556,1842860.0205677422
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,3,1,6278825.85413849,1842868.4764495383
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,2,1,6279147.429075279,1842861.2046838277
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6278757.211021021,1842803.4309608382
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279366.281053455,1842869.7662081334
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279569.716666799,1842787.7121564958
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279718.0119106565,1842726.2013297232
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,2,6279873.843448867,1842629.3572078529
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,2,6279994.025305207,1842769.6471684603
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,2,6279877.332277941,1842480.6488003156
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279986.404428975,1841872.554735251
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279837.98026907,1841873.5847497212
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279685.7449899735,1841872.121140973
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6279300.623206026,1841527.0239436065
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,2,1,6279833.003533952,1841324.2437819364
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,3,1,6279051.459533881,1841581.6745504683
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,5,1,6279154.579983641,1841752.3237650506
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,2,6279023.276316838,1841750.7148978515
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,9,1,6278880.641350999,1841789.5058040693
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,2,2,6278548.998780282,1841537.280110218
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6278470.948723628,1841522.701325005
OsnFmfsrEZPsEzWOS/HEL7J8IdpCoIKszzLKIQ==,columbia,,1,1,6278822.615122807,1841348.8960404436
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,2,1,6278879.107528197,1842293.7130723333
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6278881.952036887,1842040.1853007055
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,2,1,6278884.380241072,1841909.497251322
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,9,1,6278878.805134261,1841797.1344549377
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6278885.071129402,1841705.635584619
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6278885.531721623,1841569.7278068168
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6278563.944169893,1841560.487358697
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6278468.728189436,1841537.3245613081
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,5,1,6279403.223774046,1841708.9069238715
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,2,1,6279575.947227289,1841708.2549628813
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6279976.992148683,1841704.1276032638
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6279844.604121948,1841519.0632992422
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6279286.976469923,1842033.4293423675
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,1,1,6279973.740193028,1842077.8814860242
hh9Jx9voMgEz3VVd+FZxYAAMByp+kXDHjnqoug==,columbia,,2,1,6279916.794594145,1841892.5324174322
